Start to DebugGuard.	2011/02/11 01:36:36

Time:1sec	 Type:Event	 Data:Win32の初期化完了
Time:1sec	 Type:Event	 Data:MDXの初期化完了
Time:1sec	 Type:Event	 Data:ObjectClass Create
Time:1sec	 Type:Event	 Data:SystemViewClass Create
Time:1sec	 Type:Event	 Data:メッセージループの起動
Time:1sec	 Type:Event	 Data:Object Draw
Time:1sec	 Type:Event	 Data:MDX EndDraw
Time:1sec	 Type:Event	 Data:MDX EndViewDraw
Time:1sec	 Type:Event	 Data:Object Draw
Time:1sec	 Type:Event	 Data:MDX EndDraw
Time:1sec	 Type:Event	 Data:MDX EndViewDraw
Time:1sec	 Type:Event	 Data:Object Draw
Time:1sec	 Type:Event	 Data:MDX EndDraw
Time:1sec	 Type:Event	 Data:MDX EndViewDraw
Time:1sec	 Type:Event	 Data:Object Draw
Time:1sec	 Type:Event	 Data:MDX EndDraw
Time:1sec	 Type:Event	 Data:MDX EndViewDraw
Time:1sec	 Type:Event	 Data:Object Draw
Time:1sec	 Type:Event	 Data:MDX EndDraw
Time:1sec	 Type:Event	 Data:MDX EndViewDraw
Time:1sec	 Type:Event	 Data:Object Draw
Time:1sec	 Type:Event	 Data:MDX EndDraw
Time:1sec	 Type:Event	 Data:MDX EndViewDraw
Time:1sec	 Type:Event	 Data:Object Draw
Time:1sec	 Type:Event	 Data:MDX EndDraw
Time:1sec	 Type:Event	 Data:MDX EndViewDraw
Time:1sec	 Type:Event	 Data:Object Draw
Time:1sec	 Type:Event	 Data:MDX EndDraw
Time:1sec	 Type:Event	 Data:MDX EndViewDraw
Time:1sec	 Type:Event	 Data:Object Draw
Time:1sec	 Type:Event	 Data:MDX EndDraw
Time:1sec	 Type:Event	 Data:MDX EndViewDraw
Time:1sec	 Type:Event	 Data:Object Draw
Time:1sec	 Type:Event	 Data:MDX EndDraw
Time:1sec	 Type:Event	 Data:MDX EndViewDraw
Time:1sec	 Type:Event	 Data:Object Draw
Time:1sec	 Type:Event	 Data:MDX EndDraw
Time:1sec	 Type:Event	 Data:MDX EndViewDraw
Time:1sec	 Type:Event	 Data:Object Draw
Time:1sec	 Type:Event	 Data:MDX EndDraw
Time:1sec	 Type:Event	 Data:MDX EndViewDraw
Time:1sec	 Type:Event	 Data:Object Draw
Time:1sec	 Type:Event	 Data:MDX EndDraw
Time:1sec	 Type:Event	 Data:MDX EndViewDraw
Time:1sec	 Type:Event	 Data:Object Draw
Time:1sec	 Type:Event	 Data:MDX EndDraw
